time,id,posX,posY
27000,1241875,19053.8905321213,9788.791894856842
27000,121321,19051.892015454607,9786.105699871505
27000,1237480,19146.679855970153,9702.297560641895
27000,220647,19112.05396500431,9734.252065223285
27000,1483738,19089.644995756757,9755.3675144788
27000,1032076,19084.186493991358,9760.51093342704
27000,1506573,19078.72799222596,9765.654352375283
27000,1465404,19073.262212458205,9770.804629215454
27000,1198342,19067.79643269045,9775.954906055627
27000,1409560,19087.758495666556,9752.608513022924
27000,305276,19082.299707030237,9757.75162750969
27000,1106269,19076.840918393915,9762.894741996455
27000,1096752,19071.374851372748,9768.044713969202
27000,1236723,19065.916062736425,9773.187828455968
27000,1363571,19523.064236804683,9519.827245562781
27000,1004497,19522.478698787538,9516.5411203999
27000,455196,19568.671611176276,9507.318112009738
27000,1325203,19561.15613777368,9509.21024296051
27000,178986,19553.873401611938,9511.043778888288
27000,1530325,19575.43511804904,9502.209493510896
27000,1341804,19567.609602949437,9504.180841634869
27000,1505322,19560.327122354887,9506.015392367339
27000,1239723,19553.054338805072,9507.847500289246
27000,1404705,19684.800214825493,9475.057134170755
27000,234018,19698.84055190237,9632.130412134886
27000,329522,19466.920829675295,9816.626738841636
27000,256143,18812.848912278714,10114.063223287085
27000,1554151,18935.273978613168,10092.290358496519
27000,1534759,18544.737628835854,9861.205144710451
27000,1424797,18548.04894863397,12625.156088007787
27000,1062705,18518.520274835122,12733.98610334173
27000,1200304,18620.731221636444,13493.215487874311
27000,1038628,18791.285613839646,13417.728748439196
27000,1127495,18727.087930934966,13446.637739909314
27000,212147,18700.03006677759,13457.922865606637
27000,1148388,18672.315141030005,13468.901835221692
27000,1572130,18640.92185187447,13484.99364803498
27000,1032024,18710.509219507196,13450.652914245078
27000,370009,18679.642184009936,13462.30246480673
27000,1547018,18653.59927695056,13474.755918958252
27000,1213425,18621.438048087824,13854.070982723053
27000,1050561,18342.222632016023,14222.217579471908
27000,1045383,19024.05232095077,14314.03388788121
27000,332840,19045.611886235758,14310.72718714558
