from,to
169367,1074209
169367,1279871
169367,1044872
169367,1517982
169367,1021782
169367,1298412
169367,3051
169367,1063899
169367,1218926
169367,1093106
169367,1012491
169367,239609
169367,1283145
169367,165431
169367,1273636
169367,1560706
169367,1171032
169367,1215385
169367,260618
169367,1080081
169367,242382
169367,1514896
169367,236703
169367,1365037
169367,1081512
169367,298752
169367,102622
169367,217649
169367,1168814
169367,1547315
169367,1380586
1033159,1468458
1033159,1276482
1033159,1191950
1033159,1213433
1033159,236017
1033159,1068583
1033159,227266
1033159,1358663
1033159,1026600
1033159,1523584
1033159,272076
1033159,1092835
1033159,106619
1033159,1297926
1033159,1074209
1033159,1279871
1033159,1044872
1033159,1517982
1033159,1021782
1033159,1298412
1033159,3051
1033159,1063899
1033159,1218926
1033159,1093106
1033159,1012491
1033159,239609
1033159,1283145
1033159,165431
1033159,1273636
1033159,1560706
1033159,1171032
1033159,1215385
1033159,260618
1033159,1080081
1033159,242382
1033159,1514896
1033159,236703
1033159,1404564
1033159,1081512
1033159,298752
1033159,102622
1033159,217649
1033159,1168814
1033159,1547315
1033159,1380586
1468458,1276482
1468458,1191950
1468458,1213433
1468458,236017
1468458,1068583
1468458,227266
1468458,1358663
1468458,1026600
1468458,1523584
1468458,272076
1468458,1092835
1468458,106619
1468458,1297926
1468458,1074209
1468458,1279871
1468458,1044872
1468458,1517982
1468458,1021782
1468458,1298412
1468458,3051
1468458,1063899
1468458,1218926
1468458,1093106
1468458,1012491
1468458,239609
1468458,1283145
1468458,165431
1468458,1273636
1468458,1560706
1468458,1171032
1468458,1215385
1468458,260618
1468458,1080081
1468458,242382
1468458,1514896
1468458,236703
1468458,1128420
1468458,1404564
1468458,1081512
1468458,298752
1468458,102622
1468458,217649
1468458,1168814
1468458,1547315
1468458,1380586
1276482,1191950
1276482,1213433
1276482,236017
1276482,1068583
1276482,227266
1276482,1358663
1276482,1026600
1276482,1523584
1276482,272076
1276482,1092835
1276482,106619
1276482,1297926
1276482,200203
1276482,1074209
1276482,1279871
1276482,1044872
1276482,1517982
1276482,1021782
1276482,1298412
1276482,3051
1276482,1063899
1276482,1218926
1276482,1093106
1276482,1012491
1276482,239609
1276482,1283145
1276482,165431
1276482,1273636
1276482,1560706
1276482,1171032
1276482,1215385
1276482,260618
1276482,1080081
1276482,242382
1276482,1514896
1276482,236703
1276482,1199611
1276482,1128420
1276482,1404564
1276482,1081512
1276482,298752
1276482,102622
1276482,217649
1276482,1168814
1276482,1547315
1276482,1380586
1520846,1191950
1520846,1213433
1520846,236017
1520846,1068583
1520846,227266
1520846,1358663
1520846,1026600
1520846,1523584
1520846,272076
1520846,1092835
1520846,106619
1520846,1297926
1520846,1008628
1520846,1128201
1520846,1276991
1520846,1448940
1520846,1133884
1520846,1306934
1520846,1284820
1520846,1053713
1520846,1431660
1520846,1271141
1520846,1479572
1520846,200203
1520846,1074209
1520846,1279871
1520846,1044872
1520846,1517982
1520846,1021782
1520846,1298412
1520846,3051
1520846,1063899
1520846,1218926
1520846,1093106
1520846,1266228
1520846,1122664
1520846,1503238
1520846,1118752
1520846,1340940
1520846,1336226
1520846,225328
1520846,1100956
1191950,1213433
1191950,236017
1191950,1068583
1191950,227266
1191950,1358663
1191950,1026600
1191950,1523584
1191950,272076
1191950,1092835
1191950,106619
1191950,1297926
1191950,1128201
1191950,1276991
1191950,1448940
1191950,1133884
1191950,1306934
1191950,1284820
1191950,1053713
1191950,1431660
1191950,1271141
1191950,1479572
1191950,200203
1191950,1074209
1191950,1279871
1191950,1044872
1191950,1517982
1191950,1021782
1191950,1298412
1191950,3051
1191950,1063899
1191950,1218926
1191950,1093106
1191950,1012491
1191950,1266228
1191950,1122664
1191950,1503238
1191950,1118752
1191950,1340940
1191950,1336226
1191950,225328
1191950,1100956
1213433,236017
1213433,1068583
1213433,227266
1213433,1358663
1213433,1026600
1213433,1523584
1213433,272076
1213433,1092835
1213433,106619
1213433,1297926
1213433,1448940
1213433,1133884
1213433,1306934
1213433,1284820
1213433,1053713
1213433,1431660
1213433,1271141
1213433,1479572
1213433,200203
1213433,1074209
1213433,1279871
1213433,1044872
1213433,1517982
1213433,1021782
1213433,1298412
1213433,3051
1213433,1063899
1213433,1218926
1213433,1093106
1213433,1012491
1213433,239609
1213433,1266228
1213433,1380586
1213433,1122664
1213433,1503238
1213433,1118752
1213433,1340940
1213433,1336226
1213433,225328
1213433,1100956
236017,1068583
236017,227266
236017,1358663
236017,1026600
236017,1523584
236017,272076
236017,1092835
236017,106619
236017,1297926
236017,1133884
236017,1306934
236017,1284820
236017,1053713
236017,1431660
236017,1271141
236017,1479572
236017,200203
236017,1074209
236017,1279871
236017,1044872
236017,1517982
236017,1021782
236017,1298412
236017,3051
236017,1063899
236017,1218926
236017,1093106
236017,1012491
236017,239609
236017,1283145
236017,1266228
236017,1547315
236017,1380586
236017,1122664
236017,1503238
236017,1118752
236017,1340940
236017,1336226
236017,225328
236017,1100956
1068583,227266
1068583,1358663
1068583,1026600
1068583,1523584
1068583,272076
1068583,1092835
1068583,106619
1068583,1297926
1068583,1306934
1068583,1284820
1068583,1053713
1068583,1431660
1068583,1271141
1068583,1479572
1068583,200203
1068583,1074209
1068583,1279871
1068583,1044872
1068583,1517982
1068583,1021782
1068583,1298412
1068583,3051
1068583,1063899
1068583,1218926
1068583,1093106
1068583,1012491
1068583,239609
1068583,1283145
1068583,165431
1068583,1266228
1068583,1168814
1068583,1547315
1068583,1380586
1068583,1122664
1068583,1503238
1068583,1118752
1068583,1340940
1068583,1336226
1068583,225328
1068583,1100956
227266,1358663
227266,1026600
227266,1523584
227266,272076
227266,1092835
227266,106619
227266,1297926
227266,1284820
227266,1053713
227266,1431660
227266,1271141
227266,1479572
227266,200203
227266,1074209
227266,1279871
227266,1044872
227266,1517982
227266,1021782
227266,1298412
227266,3051
227266,1063899
227266,1218926
227266,1093106
227266,1012491
227266,239609
227266,1283145
227266,165431
227266,1273636
227266,1560706
227266,1266228
227266,217649
227266,1168814
227266,1547315
227266,1380586
227266,1122664
227266,1503238
227266,1118752
227266,1340940
227266,1336226
227266,225328
227266,1100956
1358663,1026600
1358663,1523584
1358663,272076
1358663,1092835
1358663,106619
1358663,1297926
1358663,1053713
1358663,1431660
1358663,1271141
1358663,1479572
1358663,200203
1358663,1074209
1358663,1279871
1358663,1044872
1358663,1517982
1358663,1021782
1358663,1298412
1358663,3051
1358663,1063899
1358663,1218926
1358663,1093106
1358663,1012491
1358663,239609
1358663,1283145
1358663,165431
1358663,1273636
1358663,1560706
1358663,1171032
1358663,1266228
1358663,217649
1358663,1168814
1358663,1547315
1358663,1380586
1358663,1122664
1358663,1503238
1358663,1118752
1358663,1336226
1358663,225328
1358663,1100956
1026600,1523584
1026600,272076
1026600,1092835
1026600,106619
1026600,1297926
1026600,1431660
1026600,1271141
1026600,1479572
1026600,200203
1026600,1074209
1026600,1279871
1026600,1044872
1026600,1517982
1026600,1021782
1026600,1298412
1026600,3051
1026600,1063899
1026600,1218926
1026600,1093106
1026600,1012491
1026600,239609
1026600,1283145
1026600,165431
1026600,1273636
1026600,1560706
1026600,1171032
1026600,1215385
1026600,1266228
1026600,102622
1026600,217649
1026600,1168814
1026600,1547315
1026600,1380586
1026600,1503238
1026600,1118752
1026600,1336226
1026600,225328
1026600,1100956
1523584,272076
1523584,1092835
1523584,106619
1523584,1297926
1523584,1271141
1523584,1479572
1523584,200203
1523584,1074209
1523584,1279871
1523584,1044872
1523584,1517982
1523584,1021782
1523584,1298412
1523584,3051
1523584,1063899
1523584,1218926
1523584,1093106
1523584,1012491
1523584,239609
1523584,1283145
1523584,165431
1523584,1273636
1523584,1560706
1523584,1171032
1523584,1215385
1523584,260618
1523584,1266228
1523584,102622
1523584,217649
1523584,1168814
1523584,1547315
1523584,1380586
1523584,1118752
1523584,225328
272076,1092835
272076,106619
272076,1297926
272076,1479572
272076,200203
272076,1074209
272076,1279871
272076,1044872
272076,1517982
272076,1021782
272076,1298412
272076,3051
272076,1063899
272076,1218926
272076,1093106
272076,1012491
272076,239609
272076,1283145
272076,165431
272076,1273636
272076,1560706
272076,1171032
272076,1215385
272076,260618
272076,1080081
272076,1266228
272076,102622
272076,217649
272076,1168814
272076,1547315
272076,1380586
1092835,106619
1092835,1297926
1092835,200203
1092835,1074209
1092835,1279871
1092835,1044872
1092835,1517982
1092835,1021782
1092835,1298412
1092835,3051
1092835,1063899
1092835,1218926
1092835,1093106
1092835,1012491
1092835,239609
1092835,1283145
1092835,165431
1092835,1273636
1092835,1560706
1092835,1171032
1092835,1215385
1092835,260618
1092835,1080081
1092835,242382
1092835,102622
1092835,217649
1092835,1168814
1092835,1547315
1092835,1380586
106619,1297926
106619,1074209
106619,1279871
106619,1044872
106619,1517982
106619,1021782
106619,1298412
106619,3051
106619,1063899
106619,1218926
106619,1093106
106619,1012491
106619,239609
106619,1283145
106619,165431
106619,1273636
106619,1560706
106619,1171032
106619,1215385
106619,260618
106619,1080081
106619,242382
106619,1514896
106619,298752
106619,102622
106619,217649
106619,1168814
106619,1547315
106619,1380586
1297926,1279871
1297926,1044872
1297926,1517982
1297926,1021782
1297926,1298412
1297926,3051
1297926,1063899
1297926,1218926
1297926,1093106
1297926,1012491
1297926,239609
1297926,1283145
1297926,165431
1297926,1273636
1297926,1560706
1297926,1171032
1297926,1215385
1297926,260618
1297926,1080081
1297926,242382
1297926,1514896
1297926,236703
1297926,298752
1297926,102622
1297926,217649
1297926,1168814
1297926,1547315
1297926,1380586
